;reaTZon_y;Change(T_zone);reaPHeaPum_y;oveHeaPumY_u;Change(u_hp);weaSta_reaWeaTDryBul_y;Change(Ambient temperature);weaSta_reaWeaHDirNor_y;Change(direct radiation);reaPFan_y;reaPPumEmi_y;Addition(el. Power emission circuit + el. Power Fan);total power hp;oveFan_u;Change(u_fan);PriceElectricPowerDynamic;Product(el. Power Price * el. Power HP);Func(logistic);time;Error(T_zone);Target(T_zone);LowerBound(T_zone);UpperBound(T_zone);Mode(T_zone);Error(el. Power HP);Target(el. Power HP);LowerBound(el. Power HP);UpperBound(el. Power HP);Mode(el. Power HP)
0;292.4521592;;0;1;;274.15;;0;;0;0;0;0;0;;0.2383;0;1;1546301700;3.7998195;296.2519787;294.15;297.15;Mode(Identification);0;0;;;Mode(Steady)
1;292.2277462;;2917.161773;1;;274.15;;0;;510.2040816;20.49864428;530.7027259;3447.864499;1;;0.2383;0.69515965;1;1546302600;4.024232487;296.2519787;294.15;297.15;Mode(Identification);-2917.161773;0;;;Mode(Steady)
2;292.1861494;-0.04159687;2952.434904;1;0;274.15;0;0;0;510.2040816;20.49864428;530.7027259;3483.13763;1;0;0.2383;0.703565238;1;1546303500;4.065829357;296.2519787;294.15;297.15;Mode(Identification);-2952.434904;0;;;Mode(Steady)
3;292.2218809;0.035731559;2980.075447;1;0;274.15;0;0;0;510.2040816;20.49864428;530.7027259;3510.778173;1;0;0.2383;0.710151979;1;1546304400;4.030097797;296.2519787;294.15;297.15;Mode(Identification);-2980.075447;0;;;Mode(Steady)
4;292.2975233;0.075642389;3002.796546;1;0;274.15;0;0;0;510.2040816;20.49864428;530.7027259;3533.499272;1;0;0.2383;0.715566417;1;1546305300;3.954455409;296.2519787;294.15;297.15;Mode(Identification);-3002.796546;0;;;Mode(Steady)
5;292.3948;0.097276649;3022.302226;1;0;274.15;0;0;0;510.2040816;20.49864428;530.7027259;3553.004952;1;0;0.2383;0.720214621;1;1546306200;3.857178759;296.2519787;294.15;297.15;Mode(Identification);-3022.302226;0;;;Mode(Steady)
6;292.5013871;0.106587184;3039.550077;1;0;274.15;0;0;0;510.2040816;20.49864428;530.7027259;3570.252803;1;0;0.2383;0.724324783;1;1546307100;3.750591575;296.2519787;294.15;297.15;Mode(Identification);-3039.550077;0;;;Mode(Steady)
7;292.6153802;0.113993097;3055.091519;1;0;274.15;0;0;0;510.2040816;20.49864428;530.7027259;3585.794245;1;0;0.2383;0.728028309;1;1546308000;3.636598478;296.2519787;294.15;297.15;Mode(Identification);-3055.091519;0;;;Mode(Steady)
8;292.7291343;0.113754098;3060.97036;1;0;273.8602273;-0.289772727;0;0;510.2040816;20.49864428;530.7027259;3591.673086;1;0;0.2383;0.729429237;1;1546308900;3.522844379;296.2519787;294.15;297.15;Mode(Identification);-3060.97036;0;;;Mode(Steady)
9;292.8289124;0.099778064;3052.079505;1;0;273.1772727;-0.682954545;0;0;510.2040816;20.49864428;530.7027259;3582.782231;1;0;0.2383;0.727310546;1;1546309800;3.423066315;296.2519787;294.15;297.15;Mode(Identification);-3052.079505;0;;;Mode(Steady)
10;292.9128362;0.083923802;3037.403143;1;0;272.3806818;-0.796590909;0;0;510.2040816;20.49864428;530.7027259;3568.105868;1;0;0.2383;0.723813169;1;1546310700;3.339142513;296.2519787;294.15;297.15;Mode(Identification);-3037.403143;0;;;Mode(Steady)
11;292.9862926;0.073456426;3025.918537;1;0;271.75;-0.630681818;0;0;510.2040816;20.49864428;530.7027259;3556.621263;1;0;0.2383;0.721076387;1;1546311600;3.265686088;296.2519787;294.15;297.15;Mode(Identification);-3025.918537;0;;;Mode(Steady)
12;293.056011;0.06971833;3019.361767;1;0;271.295211;-0.454788961;0;0;510.2040816;20.49864428;530.7027259;3550.064493;1;0;0.2383;0.719513909;1;1546312500;3.195967758;296.2519787;294.15;297.15;Mode(Identification);-3019.361767;0;;;Mode(Steady)
13;293.1204272;0.064416286;3012.57111;1;0;270.8584416;-0.436769481;0;0;510.2040816;20.49864428;530.7027259;3543.273836;1;0;0.2383;0.717895695;1;1546313400;3.131551472;296.2519787;294.15;297.15;Mode(Identification);-3012.57111;0;;;Mode(Steady)
14;293.1786708;0.058243565;3006.366956;1;0;270.4674513;-0.39099026;0;0;510.2040816;20.49864428;530.7027259;3537.069682;1;0;0.2383;0.716417246;1;1546314300;3.073307907;296.2519787;294.15;297.15;Mode(Identification);-3006.366956;0;;;Mode(Steady)
15;293.2308752;0.052204409;3001.641238;1;0;270.15;-0.317451299;0;0;510.2040816;20.49864428;530.7027259;3532.343964;1;0;0.2383;0.715291107;1;1546315200;3.021103498;296.2519787;294.15;297.15;Mode(Identification);-3001.641238;0;;;Mode(Steady)
16;293.2782194;0.047344202;2998.330003;1;0;269.8954464;-0.254553571;0;0;510.2040816;20.49864428;530.7027259;3529.032729;1;0;0.2383;0.71450204;1;1546316100;2.973759296;296.2519787;294.15;297.15;Mode(Identification);-2998.330003;0;;;Mode(Steady)
17;293.3208731;0.042653718;2995.817961;1;0;269.6842857;-0.211160714;0;0;510.2040816;20.49864428;530.7027259;3526.520687;1;0;0.2383;0.71390342;1;1546317000;2.931105578;296.2519787;294.15;297.15;Mode(Identification);-2995.817961;0;;;Mode(Steady)
18;293.360249;0.039375899;2994.567493;1;0;269.5309821;-0.153303571;0;0;510.2040816;20.49864428;530.7027259;3525.270219;1;0;0.2383;0.713605434;1;1546317900;2.891729679;296.2519787;294.15;297.15;Mode(Identification);-2994.567493;0;;;Mode(Steady)
19;293.3984174;0.038168368;2995.06918;1;0;269.45;-0.080982143;0;0;510.2040816;20.49864428;530.7027259;3525.771906;1;0;0.2383;0.713724986;1;1546318800;2.853561311;296.2519787;294.15;297.15;Mode(Identification);-2995.06918;0;;;Mode(Steady)
20;293.4367174;0.038299952;2996.899423;1;0;269.418125;-0.031875;0;0;510.2040816;20.49864428;530.7027259;3527.602149;1;0;0.2383;0.714161133;1;1546319700;2.81526136;296.2519787;294.15;297.15;Mode(Identification);-2996.899423;0;;;Mode(Steady)
